"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8531","create personal recipes","chromium-logged-in","Tue Oct 01 15:21:20 NZDT 2024","failed","Tue Oct 01 15:21:29 NZDT 2024","","Recipes/personalRecipes.spec.js","",""
"","21709","do login","setup","Tue Oct 01 15:20:56 NZDT 2024","passed","Tue Oct 01 15:21:18 NZDT 2024","","auth.setup.js","",""
